Title,Concept,Difficulty,Acceptance,LeetCode Link
Nth Highest Salary,Misc,Medium,30.10%,https://leetcode.com/problems/nth-highest-salary/
Rank Scores,Misc,Medium,43.60%,https://leetcode.com/problems/rank-scores/
Largest Number,Misc,Medium,27.70%,https://leetcode.com/problems/largest-number/
Consecutive Numbers,Misc,Medium,38.10%,https://leetcode.com/problems/consecutive-numbers/
Department Top Three Salaries,Misc,Hard,32.30%,https://leetcode.com/problems/department-top-three-salaries/
Repeated DNA Sequences,Misc,Medium,38.10%,https://leetcode.com/problems/repeated-dna-sequences/
Word Frequency,Misc,Medium,26.20%,https://leetcode.com/problems/word-frequency/
Transpose File,Misc,Medium,24.00%,https://leetcode.com/problems/transpose-file/
Tenth Line,Misc,Easy,33.40%,https://leetcode.com/problems/tenth-line/
Rising Temperature,Misc,Easy,37.50%,https://leetcode.com/problems/rising-temperature/
Count Primes,Misc,Easy,30.80%,https://leetcode.com/problems/count-primes/
Isomorphic Strings,Misc,Easy,39.20%,https://leetcode.com/problems/isomorphic-strings/
Shortest Palindrome,Misc,Hard,29.10%,https://leetcode.com/problems/shortest-palindrome/
The Skyline Problem,Misc,Hard,33.60%,https://leetcode.com/problems/the-skyline-problem/
Rectangle Area,Misc,Medium,37.30%,https://leetcode.com/problems/rectangle-area/
Basic Calculator,Misc,Hard,35.80%,https://leetcode.com/problems/basic-calculator/
Basic Calculator II,Misc,Medium,36.00%,https://leetcode.com/problems/basic-calculator-ii/
Majority Element II,Misc,Medium,34.50%,https://leetcode.com/problems/majority-element-ii/
Number of Digit One,Misc,Hard,31.00%,https://leetcode.com/problems/number-of-digit-one/
Valid Anagram,Misc,Easy,55.60%,https://leetcode.com/problems/valid-anagram/
Shortest Word Distance,Misc,Easy,60.20%,https://leetcode.com/problems/shortest-word-distance/
Shortest Word Distance II,Misc,Medium,51.50%,https://leetcode.com/problems/shortest-word-distance-ii/
Shortest Word Distance III,Misc,Medium,55.00%,https://leetcode.com/problems/shortest-word-distance-iii/
Strobogrammatic Number,Misc,Easy,44.30%,https://leetcode.com/problems/strobogrammatic-number/
Strobogrammatic Number II,Misc,Medium,46.70%,https://leetcode.com/problems/strobogrammatic-number-ii/
Strobogrammatic Number III,Misc,Hard,38.90%,https://leetcode.com/problems/strobogrammatic-number-iii/
Group Shifted Strings,Misc,Medium,52.00%,https://leetcode.com/problems/group-shifted-strings/
Flatten 2D Vector,Misc,Medium,45.20%,https://leetcode.com/problems/flatten-2d-vector/
Paint House,Misc,Easy,51.40%,https://leetcode.com/problems/paint-house/
Single Number III,Misc,Medium,60.00%,https://leetcode.com/problems/single-number-iii/
Trips and Users,Misc,Hard,30.30%,https://leetcode.com/problems/trips-and-users/
Ugly Number,Misc,Easy,41.20%,https://leetcode.com/problems/ugly-number/
Ugly Number II,Misc,Medium,39.00%,https://leetcode.com/problems/ugly-number-ii/
Paint House II,Misc,Hard,44.00%,https://leetcode.com/problems/paint-house-ii/
Alien Dictionary,Misc,Hard,33.70%,https://leetcode.com/problems/alien-dictionary/
H-Index,Misc,Medium,35.30%,https://leetcode.com/problems/h-index/
H-Index II,Misc,Medium,36.10%,https://leetcode.com/problems/h-index-ii/
Paint Fence,Misc,Easy,37.70%,https://leetcode.com/problems/paint-fence/
Find the Celebrity,Misc,Medium,40.60%,https://leetcode.com/problems/find-the-celebrity/
First Bad Version,Misc,Easy,33.50%,https://leetcode.com/problems/first-bad-version/
Perfect Squares,Misc,Medium,45.00%,https://leetcode.com/problems/perfect-squares/
Wiggle Sort,Misc,Medium,62.90%,https://leetcode.com/problems/wiggle-sort/
Zigzag Iterator,Misc,Medium,57.70%,https://leetcode.com/problems/zigzag-iterator/
Peeking Iterator,Misc,Medium,43.90%,https://leetcode.com/problems/peeking-iterator/
Walls and Gates,Misc,Medium,52.90%,https://leetcode.com/problems/walls-and-gates/
Unique Word Abbreviation,Misc,Medium,21.40%,https://leetcode.com/problems/unique-word-abbreviation/
Game of Life,Misc,Medium,52.20%,https://leetcode.com/problems/game-of-life/
Word Pattern,Misc,Easy,36.40%,https://leetcode.com/problems/word-pattern/
Word Pattern II,Misc,Hard,42.90%,https://leetcode.com/problems/word-pattern-ii/
Nim Game,Misc,Easy,56.10%,https://leetcode.com/problems/nim-game/
Flip Game,Misc,Easy,60.20%,https://leetcode.com/problems/flip-game/
Flip Game II,Misc,Medium,49.60%,https://leetcode.com/problems/flip-game-ii/
Bulls and Cows,Misc,Easy,41.70%,https://leetcode.com/problems/bulls-and-cows/
Smallest Rectangle Enclosing Black Pixels,Misc,Hard,50.90%,https://leetcode.com/problems/smallest-rectangle-enclosing-black-pixels/
Burst Balloons,Misc,Hard,50.40%,https://leetcode.com/problems/burst-balloons/
Super Ugly Number,Misc,Medium,44.00%,https://leetcode.com/problems/super-ugly-number/
Count of Smaller Numbers After Self,Misc,Hard,40.90%,https://leetcode.com/problems/count-of-smaller-numbers-after-self/
Shortest Distance from All Buildings,Misc,Hard,40.50%,https://leetcode.com/problems/shortest-distance-from-all-buildings/
Bulb Switcher,Misc,Medium,45.10%,https://leetcode.com/problems/bulb-switcher/
Generalized Abbreviation,Misc,Medium,51.00%,https://leetcode.com/problems/generalized-abbreviation/
Coin Change,Misc,Medium,34.00%,https://leetcode.com/problems/coin-change/
Wiggle Sort II,Misc,Medium,29.30%,https://leetcode.com/problems/wiggle-sort-ii/
Reconstruct Itinerary,Misc,Medium,34.30%,https://leetcode.com/problems/reconstruct-itinerary/
Increasing Triplet Subsequence,Misc,Medium,39.90%,https://leetcode.com/problems/increasing-triplet-subsequence/
Self Crossing,Misc,Hard,27.60%,https://leetcode.com/problems/self-crossing/
Palindrome Pairs,Misc,Hard,33.00%,https://leetcode.com/problems/palindrome-pairs/
Flatten Nested List Iterator,Misc,Medium,51.60%,https://leetcode.com/problems/flatten-nested-list-iterator/
Power of Four,Misc,Easy,41.20%,https://leetcode.com/problems/power-of-four/
Moving Average from Data Stream,Misc,Easy,69.40%,https://leetcode.com/problems/moving-average-from-data-stream/
Design Tic-Tac-Toe,Misc,Medium,53.10%,https://leetcode.com/problems/design-tic-tac-toe/
Android Unlock Patterns,Misc,Medium,47.70%,https://leetcode.com/problems/android-unlock-patterns/
Design Snake Game,Misc,Medium,33.10%,https://leetcode.com/problems/design-snake-game/
Russian Doll Envelopes,Misc,Hard,35.00%,https://leetcode.com/problems/russian-doll-envelopes/
Line Reflection,Misc,Medium,31.40%,https://leetcode.com/problems/line-reflection/
Count Numbers with Unique Digits,Misc,Medium,47.90%,https://leetcode.com/problems/count-numbers-with-unique-digits/
Rearrange String k Distance Apart,Misc,Hard,34.30%,https://leetcode.com/problems/rearrange-string-k-distance-apart/
Logger Rate Limiter,Misc,Easy,69.10%,https://leetcode.com/problems/logger-rate-limiter/
Bomb Enemy,Misc,Medium,45.40%,https://leetcode.com/problems/bomb-enemy/
Design Hit Counter,Misc,Medium,62.50%,https://leetcode.com/problems/design-hit-counter/
Water and Jug Problem,Misc,Medium,30.20%,https://leetcode.com/problems/water-and-jug-problem/
Valid Perfect Square,Misc,Easy,41.00%,https://leetcode.com/problems/valid-perfect-square/
Largest Divisible Subset,Misc,Medium,36.10%,https://leetcode.com/problems/largest-divisible-subset/
Super Pow,Misc,Medium,36.10%,https://leetcode.com/problems/super-pow/
Guess Number Higher or Lower,Misc,Easy,41.80%,https://leetcode.com/problems/guess-number-higher-or-lower/
Guess Number Higher or Lower II,Misc,Medium,39.80%,https://leetcode.com/problems/guess-number-higher-or-lower-ii/
Wiggle Subsequence,Misc,Medium,39.10%,https://leetcode.com/problems/wiggle-subsequence/
Insert Delete GetRandom O(1),Misc,Medium,45.70%,https://leetcode.com/problems/insert-delete-getrandom-o1/
Ransom Note,Misc,Easy,51.70%,https://leetcode.com/problems/ransom-note/
Mini Parser,Misc,Medium,33.10%,https://leetcode.com/problems/mini-parser/
First Unique Character in a String,Misc,Easy,51.70%,https://leetcode.com/problems/first-unique-character-in-a-string/
Find the Difference,Misc,Easy,54.50%,https://leetcode.com/problems/find-the-difference/
Elimination Game,Misc,Medium,44.40%,https://leetcode.com/problems/elimination-game/
Perfect Rectangle,Misc,Hard,29.80%,https://leetcode.com/problems/perfect-rectangle/
Is Subsequence,Misc,Easy,47.90%,https://leetcode.com/problems/is-subsequence/
UTF-8 Validation,Misc,Medium,37.10%,https://leetcode.com/problems/utf-8-validation/
Random Pick Index,Misc,Medium,53.70%,https://leetcode.com/problems/random-pick-index/
Evaluate Division,Misc,Medium,50.30%,https://leetcode.com/problems/evaluate-division/
Nth Digit,Misc,Medium,31.10%,https://leetcode.com/problems/nth-digit/
Remove K Digits,Misc,Medium,27.60%,https://leetcode.com/problems/remove-k-digits/
Convert a Number to Hexadecimal,Misc,Easy,43.20%,https://leetcode.com/problems/convert-a-number-to-hexadecimal/
Queue Reconstruction by Height,Misc,Medium,63.00%,https://leetcode.com/problems/queue-reconstruction-by-height/
Trapping Rain Water II,Misc,Hard,41.00%,https://leetcode.com/problems/trapping-rain-water-ii/
Valid Word Abbreviation,Misc,Easy,30.20%,https://leetcode.com/problems/valid-word-abbreviation/
Minimum Unique Word Abbreviation,Misc,Hard,36.00%,https://leetcode.com/problems/minimum-unique-word-abbreviation/
Fizz Buzz,Misc,Easy,61.50%,https://leetcode.com/problems/fizz-buzz/
Arithmetic Slices,Misc,Medium,57.20%,https://leetcode.com/problems/arithmetic-slices/
Pacific Atlantic Water Flow,Misc,Medium,39.90%,https://leetcode.com/problems/pacific-atlantic-water-flow/
Sentence Screen Fitting,Misc,Medium,32.20%,https://leetcode.com/problems/sentence-screen-fitting/
Battleships in a Board,Misc,Medium,68.40%,https://leetcode.com/problems/battleships-in-a-board/
Strong Password Checker,Misc,Hard,15.20%,https://leetcode.com/problems/strong-password-checker/
Valid Word Square,Misc,Easy,37.20%,https://leetcode.com/problems/valid-word-square/
Reconstruct Original Digits from English,Misc,Medium,46.60%,https://leetcode.com/problems/reconstruct-original-digits-from-english/
Word Squares,Misc,Hard,47.10%,https://leetcode.com/problems/word-squares/
All O`one Data Structure,Misc,Hard,31.60%,https://leetcode.com/problems/all-o`one-data-structure/
Minimum Genetic Mutation,Misc,Medium,40.70%,https://leetcode.com/problems/minimum-genetic-mutation/
Number of Segments in a String,Misc,Easy,37.50%,https://leetcode.com/problems/number-of-segments-in-a-string/
Find All Anagrams in a String,Misc,Medium,41.00%,https://leetcode.com/problems/find-all-anagrams-in-a-string/
Ternary Expression Parser,Misc,Medium,55.30%,https://leetcode.com/problems/ternary-expression-parser/
Arranging Coins,Misc,Easy,39.50%,https://leetcode.com/problems/arranging-coins/
String Compression,Misc,Easy,40.10%,https://leetcode.com/problems/string-compression/
Sequence Reconstruction,Misc,Medium,21.60%,https://leetcode.com/problems/sequence-reconstruction/
Arithmetic Slices II - Subsequence,Misc,Hard,32.30%,https://leetcode.com/problems/arithmetic-slices-ii-subsequence/
Number of Boomerangs,Misc,Easy,51.30%,https://leetcode.com/problems/number-of-boomerangs/
Minimum Number of Arrows to Burst Balloons,Misc,Medium,48.60%,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/
132 Pattern,Misc,Medium,28.80%,https://leetcode.com/problems/132-pattern/
Poor Pigs,Misc,Hard,46.90%,https://leetcode.com/problems/poor-pigs/
LFU Cache,Misc,Hard,32.80%,https://leetcode.com/problems/lfu-cache/
Hamming Distance,Misc,Easy,71.30%,https://leetcode.com/problems/hamming-distance/
Can I Win,Misc,Medium,28.50%,https://leetcode.com/problems/can-i-win/
Optimal Account Balancing,Misc,Hard,45.70%,https://leetcode.com/problems/optimal-account-balancing/
Count The Repetitions,Misc,Hard,27.90%,https://leetcode.com/problems/count-the-repetitions/
Convex Polygon,Misc,Medium,36.70%,https://leetcode.com/problems/convex-polygon/
Implement Rand10() Using Rand7(),Misc,Medium,46.10%,https://leetcode.com/problems/implement-rand10-using-rand7/
Encode String with Shortest Length,Misc,Hard,46.50%,https://leetcode.com/problems/encode-string-with-shortest-length/
Concatenated Words,Misc,Hard,41.20%,https://leetcode.com/problems/concatenated-words/
Matchsticks to Square,Misc,Medium,37.00%,https://leetcode.com/problems/matchsticks-to-square/
Ones and Zeroes,Misc,Medium,42.10%,https://leetcode.com/problems/ones-and-zeroes/
Heaters,Misc,Easy,32.70%,https://leetcode.com/problems/heaters/
Number Complement,Misc,Easy,63.40%,https://leetcode.com/problems/number-complement/
Total Hamming Distance,Misc,Medium,50.20%,https://leetcode.com/problems/total-hamming-distance/
Largest Palindrome Product,Misc,Hard,28.50%,https://leetcode.com/problems/largest-palindrome-product/
Magical String,Misc,Medium,47.20%,https://leetcode.com/problems/magical-string/
License Key Formatting,Misc,Easy,42.80%,https://leetcode.com/problems/license-key-formatting/
Smallest Good Base,Misc,Hard,35.40%,https://leetcode.com/problems/smallest-good-base/
Predict the Winner,Misc,Medium,47.50%,https://leetcode.com/problems/predict-the-winner/
Zuma Game,Misc,Hard,40.20%,https://leetcode.com/problems/zuma-game/
Robot Room Cleaner,Misc,Hard,68.10%,https://leetcode.com/problems/robot-room-cleaner/
The Maze,Misc,Medium,50.50%,https://leetcode.com/problems/the-maze/
Increasing Subsequences,Misc,Medium,44.30%,https://leetcode.com/problems/increasing-subsequences/
Construct the Rectangle,Misc,Easy,49.30%,https://leetcode.com/problems/construct-the-rectangle/
Teemo Attacking,Misc,Medium,53.30%,https://leetcode.com/problems/teemo-attacking/
Next Greater Element I,Misc,Easy,62.60%,https://leetcode.com/problems/next-greater-element-i/
Random Point in Non-overlapping Rectangles,Misc,Medium,37.40%,https://leetcode.com/problems/random-point-in-non-overlapping-rectangles/
Diagonal Traverse,Misc,Medium,46.80%,https://leetcode.com/problems/diagonal-traverse/
The Maze III,Misc,Hard,40.00%,https://leetcode.com/problems/the-maze-iii/
Keyboard Row,Misc,Easy,64.00%,https://leetcode.com/problems/keyboard-row/
IPO,Misc,Hard,39.40%,https://leetcode.com/problems/ipo/
Next Greater Element II,Misc,Medium,54.60%,https://leetcode.com/problems/next-greater-element-ii/
Base 7,Misc,Easy,45.70%,https://leetcode.com/problems/base-7/
The Maze II,Misc,Medium,46.80%,https://leetcode.com/problems/the-maze-ii/
Relative Ranks,Misc,Easy,49.80%,https://leetcode.com/problems/relative-ranks/
Perfect Number,Misc,Easy,35.30%,https://leetcode.com/problems/perfect-number/
Game Play Analysis I,Misc,Easy,79.50%,https://leetcode.com/problems/game-play-analysis-i/
Game Play Analysis II,Misc,Easy,55.10%,https://leetcode.com/problems/game-play-analysis-ii/
Freedom Trail,Misc,Hard,42.00%,https://leetcode.com/problems/freedom-trail/
Super Washing Machines,Misc,Hard,38.00%,https://leetcode.com/problems/super-washing-machines/
Coin Change 2,Misc,Medium,46.80%,https://leetcode.com/problems/coin-change-2/
Detect Capital,Misc,Easy,53.10%,https://leetcode.com/problems/detect-capital/
Beautiful Arrangement,Misc,Medium,57.00%,https://leetcode.com/problems/beautiful-arrangement/
Word Abbreviation,Misc,Hard,53.20%,https://leetcode.com/problems/word-abbreviation/
Random Pick with Weight,Misc,Medium,43.60%,https://leetcode.com/problems/random-pick-with-weight/
Minesweeper,Misc,Medium,57.50%,https://leetcode.com/problems/minesweeper/
Lonely Pixel I,Misc,Medium,58.60%,https://leetcode.com/problems/lonely-pixel-i/
Lonely Pixel II,Misc,Medium,47.50%,https://leetcode.com/problems/lonely-pixel-ii/
Game Play Analysis III,Misc,Medium,73.90%,https://leetcode.com/problems/game-play-analysis-iii/
Complex Number Multiplication,Misc,Medium,66.80%,https://leetcode.com/problems/complex-number-multiplication/
Minimum Time Difference,Misc,Medium,50.90%,https://leetcode.com/problems/minimum-time-difference/
Output Contest Matches,Misc,Medium,74.70%,https://leetcode.com/problems/output-contest-matches/
Remove Boxes,Misc,Hard,41.00%,https://leetcode.com/problems/remove-boxes/
Game Play Analysis IV,Misc,Medium,46.10%,https://leetcode.com/problems/game-play-analysis-iv/
Student Attendance Record I,Misc,Easy,46.70%,https://leetcode.com/problems/student-attendance-record-i/
Student Attendance Record II,Misc,Hard,35.60%,https://leetcode.com/problems/student-attendance-record-ii/
Optimal Division,Misc,Medium,56.30%,https://leetcode.com/problems/optimal-division/
Brick Wall,Misc,Medium,49.30%,https://leetcode.com/problems/brick-wall/
Split Concatenated Strings,Misc,Medium,41.80%,https://leetcode.com/problems/split-concatenated-strings/
Next Greater Element III,Misc,Medium,31.20%,https://leetcode.com/problems/next-greater-element-iii/
Find the Closest Palindrome,Misc,Hard,19.40%,https://leetcode.com/problems/find-the-closest-palindrome/
Managers with at Least 5 Direct Reports,Misc,Medium,65.30%,https://leetcode.com/problems/managers-with-at-least-5-direct-reports/
Squirrel Simulation,Misc,Medium,55.40%,https://leetcode.com/problems/squirrel-simulation/
Winning Candidate,Misc,Medium,43.80%,https://leetcode.com/problems/winning-candidate/
Distribute Candies,Misc,Easy,61.00%,https://leetcode.com/problems/distribute-candies/
Out of Boundary Paths,Misc,Medium,34.10%,https://leetcode.com/problems/out-of-boundary-paths/
Employee Bonus,Misc,Easy,65.60%,https://leetcode.com/problems/employee-bonus/
Get Highest Answer Rate Question,Misc,Medium,37.50%,https://leetcode.com/problems/get-highest-answer-rate-question/
Find Cumulative Salary of an Employee,Misc,Hard,36.20%,https://leetcode.com/problems/find-cumulative-salary-of-an-employee/
Count Student Number in Departments,Misc,Medium,47.10%,https://leetcode.com/problems/count-student-number-in-departments/
Kill Process,Misc,Medium,59.30%,https://leetcode.com/problems/kill-process/
Find Customer Referee,Misc,Easy,70.80%,https://leetcode.com/problems/find-customer-referee/
Investments in 2016,Misc,Medium,52.60%,https://leetcode.com/problems/investments-in-2016/
Customer Placing the Largest Number of Orders,Misc,Easy,71.10%,https://leetcode.com/problems/customer-placing-the-largest-number-of-orders/
Erect the Fence,Misc,Hard,35.30%,https://leetcode.com/problems/erect-the-fence/
Design In-Memory File System,Misc,Hard,43.70%,https://leetcode.com/problems/design-in-memory-file-system/
Tag Validator,Misc,Hard,34.00%,https://leetcode.com/problems/tag-validator/
Valid Square,Misc,Medium,42.20%,https://leetcode.com/problems/valid-square/
Friend Requests I: Overall Acceptance Rate,Misc,Easy,40.70%,https://leetcode.com/problems/friend-requests-i-overall-acceptance-rate/
Human Traffic of Stadium,Misc,Hard,40.30%,https://leetcode.com/problems/human-traffic-of-stadium/
Friend Requests II: Who Has the Most Friends,Misc,Medium,50.90%,https://leetcode.com/problems/friend-requests-ii-who-has-the-most-friends/
Consecutive Available Seats,Misc,Easy,62.50%,https://leetcode.com/problems/consecutive-available-seats/
Design Compressed String Iterator,Misc,Easy,36.60%,https://leetcode.com/problems/design-compressed-string-iterator/
Can Place Flowers,Misc,Easy,31.60%,https://leetcode.com/problems/can-place-flowers/
Sales Person,Misc,Easy,61.50%,https://leetcode.com/problems/sales-person/
Triangle Judgement,Misc,Easy,64.70%,https://leetcode.com/problems/triangle-judgement/
Valid Triangle Number,Misc,Medium,47.80%,https://leetcode.com/problems/valid-triangle-number/
Shortest Distance in a Plane,Misc,Medium,58.20%,https://leetcode.com/problems/shortest-distance-in-a-plane/
Shortest Distance in a Line,Misc,Easy,76.30%,https://leetcode.com/problems/shortest-distance-in-a-line/
Second Degree Follower,Misc,Medium,28.50%,https://leetcode.com/problems/second-degree-follower/
Average Salary: Departments VS Company,Misc,Hard,43.90%,https://leetcode.com/problems/average-salary-departments-vs-company/
Biggest Single Number,Misc,Easy,41.80%,https://leetcode.com/problems/biggest-single-number/
Task Scheduler,Misc,Medium,47.80%,https://leetcode.com/problems/task-scheduler/
Minimum Factorization,Misc,Medium,32.70%,https://leetcode.com/problems/minimum-factorization/
Exchange Seats,Misc,Medium,59.80%,https://leetcode.com/problems/exchange-seats/
Swap Salary,Misc,Easy,73.70%,https://leetcode.com/problems/swap-salary/
Smallest Range Covering Elements from K Lists,Misc,Hard,51.20%,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/
Design Log Storage System,Misc,Medium,57.50%,https://leetcode.com/problems/design-log-storage-system/
Exclusive Time of Functions,Misc,Medium,50.90%,https://leetcode.com/problems/exclusive-time-of-functions/
Shopping Offers,Misc,Medium,50.70%,https://leetcode.com/problems/shopping-offers/
Solve the Equation,Misc,Medium,41.30%,https://leetcode.com/problems/solve-the-equation/
Set Mismatch,Misc,Easy,41.60%,https://leetcode.com/problems/set-mismatch/
Replace Words,Misc,Medium,55.30%,https://leetcode.com/problems/replace-words/
Dota2 Senate,Misc,Medium,38.70%,https://leetcode.com/problems/dota2-senate/
2 Keys Keyboard,Misc,Medium,48.30%,https://leetcode.com/problems/2-keys-keyboard/
4 Keys Keyboard,Misc,Medium,51.80%,https://leetcode.com/problems/4-keys-keyboard/
Coin Path,Misc,Hard,28.40%,https://leetcode.com/problems/coin-path/
Robot Return to Origin,Misc,Easy,73.00%,https://leetcode.com/problems/robot-return-to-origin/
Find K Closest Elements,Misc,Medium,39.80%,https://leetcode.com/problems/find-k-closest-elements/
Remove 9,Misc,Hard,53.30%,https://leetcode.com/problems/remove-9/
Image Smoother,Misc,Easy,50.70%,https://leetcode.com/problems/image-smoother/
Strange Printer,Misc,Hard,39.50%,https://leetcode.com/problems/strange-printer/
Beautiful Arrangement II,Misc,Medium,53.70%,https://leetcode.com/problems/beautiful-arrangement-ii/
Kth Smallest Number in Multiplication Table,Misc,Hard,44.80%,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table/
Bulb Switcher II,Misc,Medium,50.60%,https://leetcode.com/problems/bulb-switcher-ii/
Implement Magic Dictionary,Misc,Medium,53.30%,https://leetcode.com/problems/implement-magic-dictionary/
24 Game,Misc,Hard,45.40%,https://leetcode.com/problems/24-game/
Next Closest Time,Misc,Medium,44.30%,https://leetcode.com/problems/next-closest-time/
Baseball Game,Misc,Easy,62.80%,https://leetcode.com/problems/baseball-game/
K Empty Slots,Misc,Hard,35.30%,https://leetcode.com/problems/k-empty-slots/
Redundant Connection II,Misc,Hard,32.10%,https://leetcode.com/problems/redundant-connection-ii/
Repeated String Match,Misc,Easy,32.10%,https://leetcode.com/problems/repeated-string-match/
Knight Probability in Chessboard,Misc,Medium,47.70%,https://leetcode.com/problems/knight-probability-in-chessboard/
Employee Importance,Misc,Easy,56.10%,https://leetcode.com/problems/employee-importance/
Stickers to Spell Word,Misc,Hard,41.70%,https://leetcode.com/problems/stickers-to-spell-word/
Falling Squares,Misc,Hard,41.30%,https://leetcode.com/problems/falling-squares/
To Lower Case,Misc,Easy,78.70%,https://leetcode.com/problems/to-lower-case/
Random Pick with Blacklist,Misc,Hard,32.30%,https://leetcode.com/problems/random-pick-with-blacklist/
Range Module,Misc,Hard,38.10%,https://leetcode.com/problems/range-module/
Find K-th Smallest Pair Distance,Misc,Hard,30.80%,https://leetcode.com/problems/find-k-th-smallest-pair-distance/
Remove Comments,Misc,Medium,33.50%,https://leetcode.com/problems/remove-comments/
Candy Crush,Misc,Medium,67.30%,https://leetcode.com/problems/candy-crush/
Number of Atoms,Misc,Hard,47.30%,https://leetcode.com/problems/number-of-atoms/
Self Dividing Numbers,Misc,Easy,73.30%,https://leetcode.com/problems/self-dividing-numbers/
My Calendar I,Misc,Medium,50.50%,https://leetcode.com/problems/my-calendar-i/
Count Different Palindromic Subsequences,Misc,Hard,41.30%,https://leetcode.com/problems/count-different-palindromic-subsequences/
My Calendar II,Misc,Medium,48.20%,https://leetcode.com/problems/my-calendar-ii/
My Calendar III,Misc,Hard,58.80%,https://leetcode.com/problems/my-calendar-iii/
Flood Fill,Misc,Easy,53.30%,https://leetcode.com/problems/flood-fill/
Sentence Similarity,Misc,Easy,41.80%,https://leetcode.com/problems/sentence-similarity/
Asteroid Collision,Misc,Medium,40.20%,https://leetcode.com/problems/asteroid-collision/
Parse Lisp Expression,Misc,Hard,46.40%,https://leetcode.com/problems/parse-lisp-expression/
Sentence Similarity II,Misc,Medium,45.10%,https://leetcode.com/problems/sentence-similarity-ii/
Monotone Increasing Digits,Misc,Medium,43.60%,https://leetcode.com/problems/monotone-increasing-digits/
Daily Temperatures,Misc,Medium,62.30%,https://leetcode.com/problems/daily-temperatures/
Delete and Earn,Misc,Medium,48.10%,https://leetcode.com/problems/delete-and-earn/
Cherry Pickup,Misc,Hard,33.20%,https://leetcode.com/problems/cherry-pickup/
Find Smallest Letter Greater Than Target,Misc,Easy,45.00%,https://leetcode.com/problems/find-smallest-letter-greater-than-target/
Min Cost Climbing Stairs,Misc,Easy,49.30%,https://leetcode.com/problems/min-cost-climbing-stairs/
Largest Number At Least Twice of Others,Misc,Easy,41.30%,https://leetcode.com/problems/largest-number-at-least-twice-of-others/
Shortest Completing Word,Misc,Easy,56.10%,https://leetcode.com/problems/shortest-completing-word/
Contain Virus,Misc,Hard,43.60%,https://leetcode.com/problems/contain-virus/
Number Of Corner Rectangles,Misc,Medium,66.40%,https://leetcode.com/problems/number-of-corner-rectangles/
IP to CIDR,Misc,Easy,62.10%,https://leetcode.com/problems/ip-to-cidr/
Open the Lock,Misc,Medium,50.00%,https://leetcode.com/problems/open-the-lock/
Cracking the Safe,Misc,Hard,49.70%,https://leetcode.com/problems/cracking-the-safe/
Reach a Number,Misc,Medium,34.20%,https://leetcode.com/problems/reach-a-number/
Pour Water,Misc,Medium,43.00%,https://leetcode.com/problems/pour-water/
Bold Words in String,Misc,Easy,44.60%,https://leetcode.com/problems/bold-words-in-string/
Employee Free Time,Misc,Hard,64.80%,https://leetcode.com/problems/employee-free-time/
Find Anagram Mappings,Misc,Easy,80.70%,https://leetcode.com/problems/find-anagram-mappings/
Largest Plus Sign,Misc,Medium,45.60%,https://leetcode.com/problems/largest-plus-sign/
Couples Holding Hands,Misc,Hard,53.70%,https://leetcode.com/problems/couples-holding-hands/
Reorganize String,Misc,Medium,47.00%,https://leetcode.com/problems/reorganize-string/
Basic Calculator IV,Misc,Hard,47.60%,https://leetcode.com/problems/basic-calculator-iv/
Basic Calculator III,Misc,Hard,40.80%,https://leetcode.com/problems/basic-calculator-iii/
Sliding Puzzle,Misc,Hard,57.60%,https://leetcode.com/problems/sliding-puzzle/
Global and Local Inversions,Misc,Medium,41.30%,https://leetcode.com/problems/global-and-local-inversions/
Swap Adjacent in LR String,Misc,Medium,34.80%,https://leetcode.com/problems/swap-adjacent-in-lr-string/
Swim in Rising Water,Misc,Hard,51.20%,https://leetcode.com/problems/swim-in-rising-water/
K-th Symbol in Grammar,Misc,Medium,37.00%,https://leetcode.com/problems/k-th-symbol-in-grammar/
Reaching Points,Misc,Hard,28.80%,https://leetcode.com/problems/reaching-points/
Transform to Chessboard,Misc,Hard,40.70%,https://leetcode.com/problems/transform-to-chessboard/
K-th Smallest Prime Fraction,Misc,Hard,41.90%,https://leetcode.com/problems/k-th-smallest-prime-fraction/
Escape The Ghosts,Misc,Medium,56.90%,https://leetcode.com/problems/escape-the-ghosts/
Domino and Tromino Tiling,Misc,Medium,38.10%,https://leetcode.com/problems/domino-and-tromino-tiling/
Custom Sort String,Misc,Medium,64.80%,https://leetcode.com/problems/custom-sort-string/
Number of Matching Subsequences,Misc,Medium,46.90%,https://leetcode.com/problems/number-of-matching-subsequences/
Preimage Size of Factorial Zeroes Function,Misc,Hard,40.00%,https://leetcode.com/problems/preimage-size-of-factorial-zeroes-function/
Valid Tic-Tac-Toe State,Misc,Medium,32.30%,https://leetcode.com/problems/valid-tic-tac-toe-state/
Smallest Rotation with Highest Score,Misc,Hard,43.30%,https://leetcode.com/problems/smallest-rotation-with-highest-score/
Similar RGB Color,Misc,Easy,61.30%,https://leetcode.com/problems/similar-rgb-color/
Minimum Swaps To Make Sequences Increasing,Misc,Medium,38.20%,https://leetcode.com/problems/minimum-swaps-to-make-sequences-increasing/
Find Eventual Safe States,Misc,Medium,47.50%,https://leetcode.com/problems/find-eventual-safe-states/
